
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
BENQ - CD-ROM 652M	+6	2	100%
BENQ - CD-ROM 656M	+6	4	100%
BENQ - CDRW 5232X	+738	30	100%
BENQ - COMBO CB523B	-589	1	100%
BENQ - COMBO CB523C	+6	3	100%
BENQ - DVD DC DQ60	+102	29	100%
BENQ - DVD DC DW1670	+102	113	100%
BENQ - DVD DC DW1680	+6	4	100%
BENQ - DVD DC DW1800	+6	9	100%
BENQ - DVD DC DW1810	+6	2	100%
BENQ - DVD DC DW2000	+6	7	100%
BENQ - DVD DC DW200S	+6	5	100%
BENQ - DVD DC DW2010	+6	13	100%
BENQ - DVD DC DW2200	+6	4	100%
BENQ - DVD DC DW220P	+6	1	100%
BENQ - DVD DC DW220S	+6	4	100%
BENQ - DVD DC DW240S	+6	4	100%
BENQ - DVD DC EW200G	+6	2	100%
BENQ - DVD DD DW1620	+618	439	100%
BENQ - DVD DD DW1625	+618	70	100%
BENQ - DVD DD DW1640	+618	839	100%
BENQ - DVD DD EW162I	+618	21	100%
BENQ - DVD DD EW164B	+618	69	100%
BENQ - DVD DD EW167B	+102	2	100%
BENQ - DVD DUAL DW1610	+618	20	100%
BENQ - DVD-ROM 16X	+738	51	100%
BENQ - DVDROM 165N	+6	3	100%
BENQ - DVDROM DD165G	+6	4	100%
BENQ - SDVD LD2000	+6	1	100%
BENQ - SLIM DD SW200D	+618	1	100%
BENQ DVD - -ROM JOYBEE610	+691	1	100%
BTC - BCE1610IM	+12	10	100%
BTC - BCE2410IM	+12	5	100%
